央视直播,#genre#
CCTV-1高清,http://192.168.68.5:4022/rtp/239.253.92.83:8012
CCTV-2高清,http://192.168.68.5:4022/rtp/239.253.92.190:6065
CCTV-3高清,http://192.168.68.5:4022/rtp/239.253.92.191:6057
CCTV-4,http://192.168.68.5:4022/rtp/239.253.92.55:8002
CCTV-5高清,http://192.168.68.5:4022/rtp/239.253.92.181:6046
CCTV-5＋高清,http://192.168.68.5:4022/rtp/239.253.92.82:8013
CCTV-6高清,http://192.168.68.5:4022/rtp/239.253.92.193:6058
CCTV-7高清,http://192.168.68.5:4022/rtp/239.253.92.194:6059
CCTV-8高清,http://192.168.68.5:4022/rtp/239.253.92.195:6060
CCTV-9高清,http://192.168.68.5:4022/rtp/239.253.92.107:6020
CCTV-10高清,http://192.168.68.5:4022/rtp/239.253.92.196:6061
CCTV-11,http://192.168.68.5:4022/rtp/239.253.92.11:8006
CCTV-12高清,http://192.168.68.5:4022/rtp/239.253.92.197:6062
CCTV-13,http://192.168.68.5:4022/rtp/239.253.92.13:8008
CCTV-14高清,http://192.168.68.5:4022/rtp/239.253.92.198:6063
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
卫视,#genre#
北京卫视高清,http://192.168.68.5:4022/rtp/239.253.92.87:8014
河北卫视高清,http://192.168.68.5:4022/rtp/239.253.92.154:6011
湖南卫视高清,http://192.168.68.5:4022/rtp/239.253.92.84:8015
深圳卫视高清,http://192.168.68.5:4022/rtp/239.253.92.86:8017
江苏卫视高清,http://192.168.68.5:4022/rtp/239.253.92.88:8018
东方卫视高清,http://192.168.68.5:4022/rtp/239.253.92.89:8019
浙江卫视高清,http://192.168.68.5:4022/rtp/239.253.92.90:8020
天津卫视高清,http://192.168.68.5:4022/rtp/239.253.92.91:8021
山东卫视高清,http://192.168.68.5:4022/rtp/239.253.92.207:8109
广东卫视高清,http://192.168.68.5:4022/rtp/239.253.92.206:8108
安徽卫视高清,http://192.168.68.5:4022/rtp/239.253.92.209:6566
湖北卫视高清,http://192.168.68.5:4022/rtp/239.253.92.210:6567
四川卫视高清,http://192.168.68.5:4022/rtp/239.253.92.234:6073
辽宁卫视高清,http://192.168.68.5:4022/rtp/239.253.92.115:6056
黑龙江卫视高清,http://192.168.68.5:4022/rtp/239.253.92.85:8016
省内台,#genre#
河北卫视,http://192.168.68.5:4022/rtp/239.253.92.170:6000
河北经济,http://192.168.68.5:4022/rtp/239.253.92.171:6001
河北都市,http://192.168.68.5:4022/rtp/239.253.92.172:6002
河北影视,http://192.168.68.5:4022/rtp/239.253.92.173:6003
河北少儿科教,http://192.168.68.5:4022/rtp/239.253.92.174:6004
河北公共,http://192.168.68.5:4022/rtp/239.253.92.175:6005
河北农民,http://192.168.68.5:4022/rtp/239.253.92.176:6006
石家庄新闻综合高清,http://192.168.68.5:4022/rtp/239.253.92.149:6035
睛彩河北,http://192.168.68.5:4022/rtp/239.253.92.108:8123
石家庄新闻综合,http://192.168.68.5:4022/rtp/239.253.92.92:8119
石家庄娱乐,http://192.168.68.5:4022/rtp/239.253.92.93:8120
石家庄生活,http://192.168.68.5:4022/rtp/239.253.92.94:8121
石家庄都市,http://192.168.68.5:4022/rtp/239.253.92.95:8122
石家庄新闻录播,http://192.168.68.5:4022/rtp/239.253.92.148:6034
承德新闻综合,http://192.168.68.5:4022/rtp/239.253.92.222:8112
承德公共生活,http://192.168.68.5:4022/rtp/239.253.92.223:8113
承德旅游文化,http://192.168.68.5:4022/rtp/239.253.92.224:8114
张家口-1,http://192.168.68.5:4022/rtp/239.253.92.225:8115
张家口-2,http://192.168.68.5:4022/rtp/239.253.92.226:8116
张家口-3,http://192.168.68.5:4022/rtp/239.253.92.227:8117
张家口导视,http://192.168.68.5:4022/rtp/239.253.92.228:8118
唐山新闻综合,http://192.168.68.5:4022/rtp/239.253.92.125:6025
唐山生活服务,http://192.168.68.5:4022/rtp/239.253.92.126:6026
唐山影视,http://192.168.68.5:4022/rtp/239.253.92.127:6027
唐山公共,http://192.168.68.5:4022/rtp/239.253.92.128:6028
廊坊新闻,http://192.168.68.5:4022/rtp/239.253.92.164:6036
廊坊公共,http://192.168.68.5:4022/rtp/239.253.92.166:6037
廊坊导视,http://192.168.68.5:4022/rtp/239.253.92.168:6039
沧州-1,http://192.168.68.5:4022/rtp/239.253.92.121:6015
沧州-2,http://192.168.68.5:4022/rtp/239.253.92.122:6016
沧州-3,http://192.168.68.5:4022/rtp/239.253.92.123:6017
央视非高清,#genre#
CCTV-1,http://192.168.68.5:4022/rtp/239.253.92.1:8101
CCTV-2,http://192.168.68.5:4022/rtp/239.253.92.2:8001
CCTV-3,http://192.168.68.5:4022/rtp/239.253.92.67:6007
CCTV-5,http://192.168.68.5:4022/rtp/239.253.92.62:6008
CCTV-6,http://192.168.68.5:4022/rtp/239.253.92.63:6009
CCTV-7,http://192.168.68.5:4022/rtp/239.253.92.7:8003
CCTV-8,http://192.168.68.5:4022/rtp/239.253.92.64:6010
CCTV-9,http://192.168.68.5:4022/rtp/239.253.92.9:8004
CCTV-10,http://192.168.68.5:4022/rtp/239.253.92.58:8005
CCTV-12,http://192.168.68.5:4022/rtp/239.253.92.59:8007
CCTV-14,http://192.168.68.5:4022/rtp/239.253.92.60:8009
CCTV-15,http://192.168.68.5:4022/rtp/239.253.92.14:8010
CCTV-NEWS,http://192.168.68.5:4022/rtp/239.253.92.15:8011
卫视非高清,#genre#
湖南卫视,http://192.168.68.5:4022/rtp/239.253.92.68:8022
浙江卫视,http://192.168.68.5:4022/rtp/239.253.92.72:8023
江苏卫视,http://192.168.68.5:4022/rtp/239.253.92.70:8024
安徽卫视,http://192.168.68.5:4022/rtp/239.253.92.69:8025
北京卫视,http://192.168.68.5:4022/rtp/239.253.92.61:8026
天津卫视,http://192.168.68.5:4022/rtp/239.253.92.37:8127
辽宁卫视,http://192.168.68.5:4022/rtp/239.253.92.30:8028
山东卫视,http://192.168.68.5:4022/rtp/239.253.92.38:8029
云南卫视,http://192.168.68.5:4022/rtp/239.253.92.28:8030
河南卫视,http://192.168.68.5:4022/rtp/239.253.92.33:8031
黑龙江卫视,http://192.168.68.5:4022/rtp/239.253.92.50:8032
四川卫视,http://192.168.68.5:4022/rtp/239.253.92.73:8033
江西卫视,http://192.168.68.5:4022/rtp/239.253.92.71:8034
贵州卫视,http://192.168.68.5:4022/rtp/239.253.92.31:8035
深圳卫视,http://192.168.68.5:4022/rtp/239.253.92.161:8036
湖北卫视,http://192.168.68.5:4022/rtp/239.253.92.35:8037
东方卫视,http://192.168.68.5:4022/rtp/239.253.92.49:8038
重庆卫视,http://192.168.68.5:4022/rtp/239.253.92.75:8039
东南卫视,http://192.168.68.5:4022/rtp/239.253.92.29:8040
广东卫视,http://192.168.68.5:4022/rtp/239.253.92.34:8042
广西卫视,http://192.168.68.5:4022/rtp/239.253.92.76:8043
吉林卫视,http://192.168.68.5:4022/rtp/239.253.92.51:8044
陕西卫视,http://192.168.68.5:4022/rtp/239.253.92.36:8045
山西卫视,http://192.168.68.5:4022/rtp/239.253.92.44:8046
内蒙古卫视,http://192.168.68.5:4022/rtp/239.253.92.45:8047
青海卫视,http://192.168.68.5:4022/rtp/239.253.92.47:8048
旅游卫视,http://192.168.68.5:4022/rtp/239.253.92.77:8049
宁夏卫视,http://192.168.68.5:4022/rtp/239.253.92.32:8050
西藏卫视,http://192.168.68.5:4022/rtp/239.253.92.42:8051
新疆卫视,http://192.168.68.5:4022/rtp/239.253.92.41:8052
甘肃卫视,http://192.168.68.5:4022/rtp/239.253.92.48:8053
其他,#genre#
中国教育-1高清,http://192.168.68.5:4022/rtp/239.253.92.211:6069
纪实高清,http://192.168.68.5:4022/rtp/239.253.92.99:6013
CNC环球,http://192.168.68.5:4022/rtp/239.253.92.220:8110
CNC英语,http://192.168.68.5:4022/rtp/239.253.92.221:8111
CFC中国金融,http://192.168.68.5:4022/rtp/239.253.92.120:6014
卡酷动画,http://192.168.68.5:4022/rtp/239.253.92.162:8054
金鹰卡通,http://192.168.68.5:4022/rtp/239.253.92.163:8055
槐底台,http://192.168.68.5:4022/rtp/239.253.92.129:6030
电视指南,http://192.168.68.5:4022/rtp/239.253.92.109:8056
第一剧场,http://192.168.68.5:4022/rtp/239.253.92.112:8057
风云剧场,http://192.168.68.5:4022/rtp/239.253.92.114:8058
怀旧剧场,http://192.168.68.5:4022/rtp/239.253.92.118:8059
风云音乐,http://192.168.68.5:4022/rtp/239.253.92.111:8060
风云足球,http://192.168.68.5:4022/rtp/239.253.92.110:8061
高尔夫网球,http://192.168.68.5:4022/rtp/239.253.92.117:8062
现代女性,http://192.168.68.5:4022/rtp/239.253.92.136:8063
武术世界,http://192.168.68.5:4022/rtp/239.253.92.141:8064
国防军事,http://192.168.68.5:4022/rtp/239.253.92.119:8065
世界地理,http://192.168.68.5:4022/rtp/239.253.92.113:8066
发现之旅,http://192.168.68.5:4022/rtp/239.253.92.131:8067
老故事,http://192.168.68.5:4022/rtp/239.253.92.132:8068
环球奇观,http://192.168.68.5:4022/rtp/239.253.92.130:8069
文物宝库,http://192.168.68.5:4022/rtp/239.253.92.159:8070
国学,http://192.168.68.5:4022/rtp/239.253.92.158:8071
茶频道,http://192.168.68.5:4022/rtp/239.253.92.192:8072
DV生活,http://192.168.68.5:4022/rtp/239.253.92.147:8073
女性时尚,http://192.168.68.5:4022/rtp/239.253.92.8:8074
文化精品,http://192.168.68.5:4022/rtp/239.253.92.6:8075
新科动漫,http://192.168.68.5:4022/rtp/239.253.92.155:8076
宝贝家,http://192.168.68.5:4022/rtp/239.253.92.137:8077
早期教育,http://192.168.68.5:4022/rtp/239.253.92.138:8078
快乐垂钓,http://192.168.68.5:4022/rtp/239.253.92.135:8081
英语辅导,http://192.168.68.5:4022/rtp/239.253.92.143:8082
留学世界,http://192.168.68.5:4022/rtp/239.253.92.151:8083
书画,http://192.168.68.5:4022/rtp/239.253.92.133:8084
摄影,http://192.168.68.5:4022/rtp/239.253.92.144:8085
梨园,http://192.168.68.5:4022/rtp/239.253.92.152:8086
卫生健康,http://192.168.68.5:4022/rtp/239.253.92.140:8087
靓妆,http://192.168.68.5:4022/rtp/239.253.92.150:8088
彩民在线,http://192.168.68.5:4022/rtp/239.253.92.139:8089
财富天下,http://192.168.68.5:4022/rtp/239.253.92.134:8090
健康卫视,http://192.168.68.5:4022/rtp/239.253.92.165:8091
收视指南,http://192.168.68.5:4022/rtp/239.253.92.4:8092
热播剧场,http://192.168.68.5:4022/rtp/239.253.92.105:8093
经典电影,http://192.168.68.5:4022/rtp/239.253.92.106:8094
魅力时尚,http://192.168.68.5:4022/rtp/239.253.92.103:8095
IPTV谍战剧场,http://192.168.68.5:4022/rtp/239.253.92.200:8102
IPTV相声小品,http://192.168.68.5:4022/rtp/239.253.92.201:8103
少儿动画,http://192.168.68.5:4022/rtp/239.253.92.100:8098
IPTV野外,http://192.168.68.5:4022/rtp/239.253.92.202:8104
IPTV法治,http://192.168.68.5:4022/rtp/239.253.92.203:8105
劲爆体育,http://192.168.68.5:4022/rtp/239.253.92.204:8106
全纪实,http://192.168.68.5:4022/rtp/239.253.92.205:8107
中国微电影,http://192.168.68.5:4022/rtp/239.253.92.124:6019
元氏,http://192.168.68.5:4022/rtp/239.253.92.142:6040
无极新闻综合,http://192.168.68.5:4022/rtp/239.253.92.185:6051
无极生活教育,http://192.168.68.5:4022/rtp/239.253.92.186:6052
高邑台,http://192.168.68.5:4022/rtp/239.253.92.160:6041
高邑台-2,http://192.168.68.5:4022/rtp/239.253.92.208:6044
栾城-1,http://192.168.68.5:4022/rtp/239.253.92.187:6051
香河综合,http://192.168.68.5:4022/rtp/239.253.92.185:6049
香河影视,http://192.168.68.5:4022/rtp/239.253.92.186:6050
黄骅-1,http://192.168.68.5:4022/rtp/239.253.92.183:6047
黄骅-2,http://192.168.68.5:4022/rtp/239.253.92.184:6048
4K测试,http://192.168.68.5:4022/rtp/239.253.92.178:6209
